,Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Subtotal,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
21,300-71-4605,C,NAYPYITAW,Member,Male,Electronic accessories,86.04,5,430.2,21.51,931.035,2/25/2019,11:24,Ewallet,430.2,4.761904762,21.51,4.8
22,371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87.98,3,263.94,13.197,926.9505,03/05/2019,10:40,Ewallet,263.94,4.761904762,13.197,5.1
23,273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,66.4,3.32,922.635,3/15/2019,12:20,Credit card,66.4,4.761904762,3.32,4.4
24,636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.56,5,172.8,8.64,921.186,2/17/2019,11:15,Ewallet,172.8,4.761904762,8.64,9.9
25,549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3,265.89,13.2945,918.729,03/02/2019,17:36,Ewallet,265.89,4.761904762,13.2945,6
26,227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8,420.72,21.036,914.55,3/22/2019,19:20,Credit card,420.72,4.761904762,21.036,8.5
27,649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33.52,1,33.52,1.676,888.615,02/08/2019,15:31,Cash,33.52,4.761904762,1.676,6.7
28,189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2,175.34,8.767,888.405,03/10/2019,12:17,Credit card,175.34,4.761904762,8.767,7.7
29,145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,5,441.8,22.09,887.922,1/25/2019,19:48,Cash,441.8,4.761904762,22.09,9.6
30,848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89,9,224.01,11.2005,881.307,3/15/2019,15:36,Cash,224.01,4.761904762,11.2005,7.4
31,871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,94.13,5,470.65,23.5325,874.125,2/25/2019,19:39,Credit card,470.65,4.761904762,23.5325,4.8
32,149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,9,702.63,35.1315,867.615,1/28/2019,12:43,Cash,702.63,4.761904762,35.1315,4.5
33,640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,8,670.24,33.512,867.09,01/10/2019,14:49,Cash,670.24,4.761904762,33.512,5.1
35,595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58,2,193.16,9.658,864.57,3/15/2019,10:12,Credit card,193.16,4.761904762,9.658,5.1
36,183-56-6882,C,NAYPYITAW,Member,Female,Food and beverages,99.42,4,397.68,19.884,860.685,02/06/2019,10:42,Ewallet,397.68,4.761904762,19.884,7.5
37,232-16-2483,C,NAYPYITAW,Member,Female,Sports and travel,68.12,1,68.12,3.406,856.4535,01/07/2019,12:28,Ewallet,68.12,4.761904762,3.406,6.8
38,129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5,313.1,15.655,853.146,03/10/2019,19:15,Ewallet,313.1,4.761904762,15.655,7
39,272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9,547.92,27.396,852.705,1/15/2019,17:17,Ewallet,547.92,4.761904762,27.396,4.7
40,333-73-7901,C,NAYPYITAW,Normal,Female,Health and beauty,54.92,8,439.36,21.968,843.0345,3/23/2019,13:24,Ewallet,439.36,4.761904762,21.968,7.6
41,777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30.12,8,240.96,12.048,836.304,03/03/2019,13:01,Cash,240.96,4.761904762,12.048,7.7
42,280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72,1,86.72,4.336,835.2855,1/17/2019,18:45,Ewallet,86.72,4.761904762,4.336,7.9
43,554-53-8700,C,NAYPYITAW,Member,Male,Home and lifestyle,56.11,2,112.22,5.611,833.9625,02/02/2019,10:11,Cash,112.22,4.761904762,5.611,6.3
44,354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.12,6,414.72,20.736,833.595,02/08/2019,13:03,Cash,414.72,4.761904762,20.736,5.6
45,228-96-1411,C,NAYPYITAW,Member,Female,Food and beverages,98.7,8,789.6,39.48,832.944,03/04/2019,20:39,Cash,789.6,4.761904762,39.48,7.6
46,617-15-4209,C,NAYPYITAW,Member,Male,Health and beauty,15.37,2,30.74,1.537,830.3715,3/16/2019,19:47,Cash,30.74,4.761904762,1.537,7.2
47,132-32-9879,B,Mandalay,Member,Female,Electronic accessories,93.96,4,375.84,18.792,829.71,03/09/2019,18:00,Cash,375.84,4.761904762,18.792,9.5
48,370-41-7321,B,Mandalay,Member,Male,Health and beauty,56.69,9,510.21,25.5105,829.08,2/27/2019,17:24,Credit card,510.21,4.761904762,25.5105,8.4
49,727-46-3608,B,Mandalay,Member,Female,Food and beverages,20.01,9,180.09,9.0045,829.08,02/06/2019,15:47,Ewallet,180.09,4.761904762,9.0045,4.1
50,669-54-1719,B,Mandalay,Member,Male,Electronic accessories,18.93,6,113.58,5.679,827.085,02/10/2019,12:45,Credit card,113.58,4.761904762,5.679,8.1
51,574-22-5561,C,NAYPYITAW,Member,Female,Fashion accessories,82.63,10,826.3,41.315,822.255,3/19/2019,17:08,Ewallet,826.3,4.761904762,41.315,7.9
52,326-78-5178,C,NAYPYITAW,Member,Male,Food and beverages,91.4,7,639.8,31.99,820.365,02/03/2019,10:19,Cash,639.8,4.761904762,31.99,9.5
53,162-48-8011,A,Yangon,Member,Female,Food and beverages,44.59,5,222.95,11.1475,817.236,02/10/2019,15:10,Cash,222.95,4.761904762,11.1475,8.5
54,616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.87,4,71.48,3.574,814.38,3/22/2019,14:42,Ewallet,71.48,4.761904762,3.574,6.5
55,778-71-5554,C,NAYPYITAW,Member,Male,Fashion accessories,15.43,1,15.43,0.7715,810.6,1/25/2019,15:46,Credit card,15.43,4.761904762,0.7715,6.1
56,242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,16.16,2,32.32,1.616,807.66,03/07/2019,11:49,Ewallet,32.32,4.761904762,1.616,6.5
57,399-46-5918,C,NAYPYITAW,Normal,Female,Electronic accessories,85.98,8,687.84,34.392,804.3,2/28/2019,19:01,Cash,687.84,4.761904762,34.392,8.2
58,106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34,2,88.68,4.434,801.864,3/27/2019,11:26,Cash,88.68,4.761904762,4.434,5.8
59,635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.6,8,716.8,35.84,796.908,02/07/2019,11:28,Ewallet,716.8,4.761904762,35.84,6.6
60,817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35,10,723.5,36.175,794.6505,1/20/2019,15:55,Cash,723.5,4.761904762,36.175,5.4
61,120-06-4233,C,NAYPYITAW,Normal,Male,Electronic accessories,30.61,6,183.66,9.183,793.716,03/12/2019,20:36,Cash,183.66,4.761904762,9.183,9.3
62,285-68-5083,C,NAYPYITAW,Member,Female,Sports and travel,24.74,3,74.22,3.711,793.548,2/15/2019,17:47,Credit card,74.22,4.761904762,3.711,10
63,803-83-5989,C,NAYPYITAW,Normal,Male,Home and lifestyle,55.73,6,334.38,16.719,788.508,2/24/2019,10:55,Ewallet,334.38,4.761904762,16.719,7
64,347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07,9,495.63,24.7815,786.618,02/03/2019,13:40,Ewallet,495.63,4.761904762,24.7815,10
65,199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10,158.1,7.905,783.3,03/06/2019,12:27,Credit card,158.1,4.761904762,7.905,8.6
66,853-23-2453,B,Mandalay,Member,Male,Health and beauty,75.74,4,302.96,15.148,782.208,2/14/2019,14:35,Cash,302.96,4.761904762,15.148,7.6
67,877-22-3308,A,Yangon,Member,Male,Health and beauty,15.87,10,158.7,7.935,781.62,3/13/2019,16:40,Cash,158.7,4.761904762,7.935,5.8
68,838-78-4295,C,NAYPYITAW,Normal,Female,Health and beauty,33.47,2,66.94,3.347,779.31,02/10/2019,15:43,Ewallet,66.94,4.761904762,3.347,6.7
69,109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,6,585.66,29.283,772.38,01/07/2019,15:01,Ewallet,585.66,4.761904762,29.283,9.9
70,232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10,787.7,39.385,771.435,1/24/2019,10:04,Cash,787.7,4.761904762,39.385,6.4
71,382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1,18.33,0.9165,769.104,02/02/2019,18:50,Cash,18.33,4.761904762,0.9165,4.3
72,393-65-2792,C,NAYPYITAW,Normal,Male,Food and beverages,89.48,10,894.8,44.74,767.025,01/06/2019,12:46,Credit card,894.8,4.761904762,44.74,9.6
73,796-12-2025,C,NAYPYITAW,Normal,Male,Fashion accessories,62.12,10,621.2,31.06,764.19,02/11/2019,16:19,Cash,621.2,4.761904762,31.06,5.9
75,510-95-6347,B,Mandalay,Member,Female,Food and beverages,48.52,3,145.56,7.278,763.4655,03/05/2019,18:17,Ewallet,145.56,4.761904762,7.278,4
76,841-35-6630,C,NAYPYITAW,Normal,Female,Electronic accessories,75.91,6,455.46,22.773,760.452,03/09/2019,18:21,Cash,455.46,4.761904762,22.773,8.7
77,287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67,9,672.03,33.6015,760.4415,1/22/2019,10:55,Ewallet,672.03,4.761904762,33.6015,9.4
78,732-94-0499,C,NAYPYITAW,Normal,Female,Electronic accessories,41.65,10,416.5,20.825,759.675,1/13/2019,17:04,Credit card,416.5,4.761904762,20.825,5.4
79,263-10-3913,C,NAYPYITAW,Member,Male,Fashion accessories,49.04,9,441.36,22.068,757.365,01/09/2019,14:20,Credit card,441.36,4.761904762,22.068,8.6
80,381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,9,180.09,9.0045,756.168,01/12/2019,15:48,Credit card,180.09,4.761904762,9.0045,5.7
81,829-49-1914,C,NAYPYITAW,Member,Female,Food and beverages,78.31,10,783.1,39.155,752.64,03/05/2019,16:24,Ewallet,783.1,4.761904762,39.155,6.6
82,756-01-7507,C,NAYPYITAW,Normal,Female,Health and beauty,20.38,5,101.9,5.095,749.7,1/22/2019,18:56,Cash,101.9,4.761904762,5.095,6
83,870-72-4431,C,NAYPYITAW,Normal,Female,Health and beauty,99.19,6,595.14,29.757,749.49,1/21/2019,14:42,Credit card,595.14,4.761904762,29.757,5.5
84,847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68,3,290.04,14.502,745.836,1/26/2019,19:56,Ewallet,290.04,4.761904762,14.502,6.4
85,480-63-2856,C,NAYPYITAW,Normal,Male,Food and beverages,19.25,8,154,7.7,745.395,1/23/2019,18:37,Ewallet,154,4.761904762,7.7,6.6
86,787-56-0757,C,NAYPYITAW,Member,Female,Food and beverages,80.36,4,321.44,16.072,743.82,2/23/2019,18:45,Credit card,321.44,4.761904762,16.072,8.3
87,360-39-5055,C,NAYPYITAW,Member,Male,Sports and travel,48.91,5,244.55,12.2275,742.812,03/09/2019,10:17,Cash,244.55,4.761904762,12.2275,6.6
88,730-50-9884,C,NAYPYITAW,Normal,Female,Sports and travel,83.06,7,581.42,29.071,742.2975,03/05/2019,14:31,Ewallet,581.42,4.761904762,29.071,4
89,362-58-8315,C,NAYPYITAW,Normal,Male,Fashion accessories,76.52,5,382.6,19.13,737.7615,3/25/2019,10:23,Cash,382.6,4.761904762,19.13,9.9
90,633-44-8566,A,Yangon,Member,Male,Food and beverages,49.38,7,345.66,17.283,736.4385,3/27/2019,20:35,Credit card,345.66,4.761904762,17.283,7.3
91,504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,42.47,2.1235,734.706,01/02/2019,16:57,Cash,42.47,4.761904762,2.1235,5.7
92,318-68-5053,B,Mandalay,Normal,Female,Health and beauty,76.99,6,461.94,23.097,734.076,2/27/2019,17:55,Cash,461.94,4.761904762,23.097,6.1
93,565-80-5980,C,NAYPYITAW,Member,Female,Home and lifestyle,47.38,4,189.52,9.476,733.6035,1/23/2019,10:25,Cash,189.52,4.761904762,9.476,7.1
94,225-32-0908,C,NAYPYITAW,Normal,Female,Sports and travel,44.86,10,448.6,22.43,732.27,1/26/2019,19:54,Ewallet,448.6,4.761904762,22.43,8.2
95,873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7,153.86,7.693,731.6925,01/10/2019,16:42,Ewallet,153.86,4.761904762,7.693,5.1
96,152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.36,9,579.24,28.962,731.43,03/12/2019,12:09,Credit card,579.24,4.761904762,28.962,8.6
97,512-91-0811,C,NAYPYITAW,Normal,Male,Health and beauty,89.75,1,89.75,4.4875,728.112,02/06/2019,20:05,Credit card,89.75,4.761904762,4.4875,6.6
98,594-34-4444,A,Bangon,Normal,Male,Electronic accessories,97.16,1,97.16,4.858,723.24,03/08/2019,20:38,Ewallet,97.16,4.761904762,4.858,7.2
99,766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87.87,10,878.7,43.935,722.232,3/29/2019,10:25,Ewallet,878.7,4.761904762,43.935,5.1
100,871-39-9221,C,NAYPYITAW,Normal,Female,Electronic accessories,12.45,6,74.7,3.735,721.98,02/09/2019,13:11,Cash,74.7,4.761904762,3.735,4.1
101,865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.75,3,158.25,7.9125,720.3,3/23/2019,10:16,Ewallet,158.25,4.761904762,7.9125,9.3
102,733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82.7,6,496.2,24.81,718.7565,03/05/2019,18:14,Cash,496.2,4.761904762,24.81,7.4
103,163-56-7055,C,NAYPYITAW,Member,Male,Fashion accessories,48.71,1,48.71,2.4355,714.3255,3/26/2019,19:20,Cash,48.71,4.761904762,2.4355,4.1
104,189-98-2939,C,NAYPYITAW,Normal,Male,Fashion accessories,78.55,9,706.95,35.3475,709.317,03/01/2019,13:22,Cash,706.95,4.761904762,35.3475,7.2
105,551-21-3069,C,NAYPYITAW,Normal,Female,Electronic accessories,23.07,9,207.63,10.3815,708.3195,02/01/2019,11:27,Cash,207.63,4.761904762,10.3815,4.9
106,212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.26,6,349.56,17.478,708.225,3/28/2019,16:44,Cash,349.56,4.761904762,17.478,9.9
107,716-39-1409,B,Mandalay,Normal,Male,Health and beauty,30.35,7,212.45,10.6225,705.6315,3/19/2019,18:19,Cash,212.45,4.761904762,10.6225,8
108,704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67,10,886.7,44.335,703.752,01/12/2019,14:50,Ewallet,886.7,4.761904762,44.335,7.3
109,628-34-3388,C,NAYPYITAW,Normal,Male,Fashion accessories,27.38,6,164.28,8.214,702.219,01/05/2019,20:54,Credit card,164.28,4.761904762,8.214,7.9
110,630-74-5166,A,Yangon,Normal,Male,Sports and travel,62.13,6,372.78,18.639,701.8515,3/22/2019,20:19,Cash,372.78,4.761904762,18.639,7.4
111,588-01-7461,C,NAYPYITAW,Normal,Female,Food and beverages,33.98,9,305.82,15.291,697.935,3/24/2019,10:43,Cash,305.82,4.761904762,15.291,4.2
112,861-77-0145,C,NAYPYITAW,Member,Male,Electronic accessories,81.97,10,819.7,40.985,697.368,03/03/2019,14:30,Cash,819.7,4.761904762,40.985,9.2
113,479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.49,2,32.98,1.649,695.2365,02/05/2019,11:32,Ewallet,32.98,4.761904762,1.649,4.6
114,210-67-5886,C,NAYPYITAW,Member,Female,Health and beauty,98.21,3,294.63,14.7315,690.018,02/05/2019,10:41,Credit card,294.63,4.761904762,14.7315,7.8
115,227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,72.84,7,509.88,25.494,688.716,2/15/2019,12:44,Cash,509.88,4.761904762,25.494,8.4
117,645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07,9,522.63,26.1315,688.6215,1/19/2019,20:07,Ewallet,522.63,4.761904762,26.1315,4.3
118,237-01-6122,C,NAYPYITAW,Member,Female,Home and lifestyle,80.79,9,727.11,36.3555,684.915,02/01/2019,20:31,Credit card,727.11,4.761904762,36.3555,9.5
119,225-98-1496,C,NAYPYITAW,Normal,Female,Fashion accessories,27.02,3,81.06,4.053,681.975,03/02/2019,13:01,Credit card,81.06,4.761904762,4.053,7.1
120,291-32-1427,B,Mandalay,Member,Male,Fashion accessories,21.94,5,109.7,5.485,681.4395,03/05/2019,12:29,Ewallet,109.7,4.761904762,5.485,5.3
121,659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.36,1,51.36,2.568,680.61,1/16/2019,15:26,Ewallet,51.36,4.761904762,2.568,5.2
122,642-32-2990,A,Yangon,Normal,Female,Food and beverages,10.96,10,109.6,5.48,680.148,02/02/2019,20:48,Ewallet,109.6,4.761904762,5.48,6
123,378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53.44,2,106.88,5.344,680.064,1/20/2019,20:38,Ewallet,106.88,4.761904762,5.344,4.1
124,638-60-7125,A,Yangon,Normal,Female,Electronic accessories,99.56,8,796.48,39.824,673.995,2/14/2019,17:03,Credit card,796.48,4.761904762,39.824,5.2
125,659-36-1684,C,NAYPYITAW,Member,Male,Sports and travel,57.12,7,399.84,19.992,671.79,01/12/2019,12:02,Credit card,399.84,4.761904762,19.992,6.5
126,219-22-9386,B,Mandalay,Member,Male,Sports and travel,99.96,9,899.64,44.982,667.38,03/09/2019,17:26,Credit card,899.64,4.761904762,44.982,4.2
127,336-78-2147,C,NAYPYITAW,Member,Male,Home and lifestyle,63.91,8,511.28,25.564,666.939,3/13/2019,19:52,Credit card,511.28,4.761904762,25.564,4.6
128,268-27-6179,B,Mandalay,Member,Female,Fashion accessories,56.47,8,451.76,22.588,663.2955,03/09/2019,14:57,Ewallet,451.76,4.761904762,22.588,7.3
129,668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,93.69,7,655.83,32.7915,657.531,03/10/2019,18:44,Credit card,655.83,4.761904762,32.7915,4.5
130,870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25,5,161.25,8.0625,655.5465,1/27/2019,13:26,Cash,161.25,4.761904762,8.0625,9
131,189-08-9157,C,NAYPYITAW,Normal,Female,Fashion accessories,31.73,9,285.57,14.2785,652.89,01/08/2019,16:17,Credit card,285.57,4.761904762,14.2785,5.9
132,663-86-9076,C,NAYPYITAW,Member,Female,Food and beverages,68.54,8,548.32,27.416,652.26,01/08/2019,15:57,Ewallet,548.32,4.761904762,27.416,8.5
133,549-84-7482,B,Mandalay,Normal,Female,Sports and travel,90.28,9,812.52,40.626,649.299,02/08/2019,11:15,Ewallet,812.52,4.761904762,40.626,7.2
134,191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.62,7,277.34,13.867,640.038,1/25/2019,13:18,Cash,277.34,4.761904762,13.867,7.5
135,802-70-5316,A,Yangon,Member,Female,Sports and travel,92.13,6,552.78,27.639,637.728,03/06/2019,20:34,Cash,552.78,4.761904762,27.639,8.3
136,695-51-0018,B,Mandalay,Normal,Female,Sports and travel,34.84,4,139.36,6.968,634.3785,02/10/2019,18:36,Cash,139.36,4.761904762,6.968,7.4
137,590-83-4591,B,Mandalay,Member,Male,Electronic accessories,87.45,6,524.7,26.235,633.99,2/17/2019,14:40,Credit card,524.7,4.761904762,26.235,8.8
138,483-71-1164,C,NAYPYITAW,Normal,Female,Health and beauty,81.3,6,487.8,24.39,633.108,03/08/2019,16:43,Ewallet,487.8,4.761904762,24.39,5.3
139,597-78-7908,C,NAYPYITAW,Normal,Male,Fashion accessories,90.22,3,270.66,13.533,631.1445,2/18/2019,19:39,Cash,270.66,4.761904762,13.533,6.2
140,700-81-1757,A,Yangon,Normal,Female,Electronic accessories,26.31,5,131.55,6.5775,629.8425,1/18/2019,20:59,Credit card,131.55,4.761904762,6.5775,8.8
141,354-39-5160,A,Yangon,Member,Female,Home and lifestyle,34.42,6,206.52,10.326,629.496,2/18/2019,15:39,Cash,206.52,4.761904762,10.326,9.8
142,241-72-9525,B,Mandalay,Normal,Male,Sports and travel,51.91,10,519.1,25.955,629.16,2/16/2019,12:21,Cash,519.1,4.761904762,25.955,8.2
143,575-30-8091,A,Yangon,Normal,Male,Sports and travel,72.5,8,580,29,628.929,3/16/2019,19:25,Ewallet,580,4.761904762,29,9.2
144,731-81-9469,C,NAYPYITAW,Member,Female,Sports and travel,89.8,10,898,44.9,628.173,1/23/2019,13:00,Credit card,898,4.761904762,44.9,5.4
145,280-17-4359,C,NAYPYITAW,Member,Male,Health and beauty,90.5,10,905,45.25,627.6165,1/25/2019,13:48,Cash,905,4.761904762,45.25,8.1
146,338-65-2210,C,NAYPYITAW,Member,Female,Health and beauty,68.6,10,686,34.3,625.905,02/05/2019,19:57,Cash,686,4.761904762,34.3,9.1
147,488-25-4221,C,NAYPYITAW,Member,Female,Food and beverages,30.41,1,30.41,1.5205,624.897,2/22/2019,10:36,Credit card,30.41,4.761904762,1.5205,8.4
148,239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,77.95,6,467.7,23.385,624.33,1/21/2019,16:37,Ewallet,467.7,4.761904762,23.385,8
149,458-41-1477,C,NAYPYITAW,Normal,Female,Health and beauty,46.26,6,277.56,13.878,621.243,03/08/2019,17:11,Credit card,277.56,4.761904762,13.878,9.5
150,685-64-1609,A,Yangon,Member,Female,Fashion accessories,30.14,10,301.4,15.07,620.739,02/10/2019,12:28,Ewallet,301.4,4.761904762,15.07,9.2
151,568-90-5112,C,NAYPYITAW,Normal,Male,Health and beauty,66.14,4,264.56,13.228,618.975,3/19/2019,12:46,Credit card,264.56,4.761904762,13.228,5.6
152,262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,71.86,8,574.88,28.744,616.98,03/06/2019,15:07,Credit card,574.88,4.761904762,28.744,6.2
153,238-49-0436,A,Yangon,Normal,Male,Health and beauty,32.46,8,259.68,12.984,614.943,3/27/2019,13:48,Credit card,259.68,4.761904762,12.984,4.9
154,608-96-3517,B,Mandalay,Member,Female,Fashion accessories,91.54,4,366.16,18.308,611.079,3/23/2019,19:20,Credit card,366.16,4.761904762,18.308,4.8
155,584-86-7256,C,NAYPYITAW,Member,Male,Sports and travel,34.56,7,241.92,12.096,610.491,03/11/2019,16:07,Credit card,241.92,4.761904762,12.096,7.3
156,746-94-0204,A,Yangon,Normal,Male,Fashion accessories,83.24,9,749.16,37.458,609.588,1/29/2019,11:56,Credit card,749.16,4.761904762,37.458,7.4
157,214-17-6927,C,NAYPYITAW,Normal,Female,Food and beverages,16.48,6,98.88,4.944,609.168,02/07/2019,18:23,Ewallet,98.88,4.761904762,4.944,9.9
158,400-89-4171,C,NAYPYITAW,Normal,Female,Sports and travel,80.97,8,647.76,32.388,609,1/28/2019,13:05,Cash,647.76,4.761904762,32.388,9.3
159,782-95-9291,A,Yangon,Member,Male,Food and beverages,92.29,5,461.45,23.0725,608.202,2/20/2019,15:55,Credit card,461.45,4.761904762,23.0725,9
160,279-74-2924,B,Mandalay,Member,Male,Electronic accessories,72.17,1,72.17,3.6085,608.076,01/04/2019,19:40,Cash,72.17,4.761904762,3.6085,6.1
161,307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle,50.28,5,251.4,12.57,603.876,03/07/2019,13:58,Ewallet,251.4,4.761904762,12.57,9.7
162,743-04-1105,B,Mandalay,Member,Male,Health and beauty,97.22,9,874.98,43.749,603.624,3/30/2019,14:43,Ewallet,874.98,4.761904762,43.749,6
163,423-57-2993,B,Mandalay,Normal,Male,Sports and travel,93.39,6,560.34,28.017,597.6285,3/27/2019,19:18,Ewallet,560.34,4.761904762,28.017,10
164,894-41-5205,C,NAYPYITAW,Normal,Female,Food and beverages,43.18,8,345.44,17.272,597.0405,1/19/2019,19:39,Credit card,345.44,4.761904762,17.272,8.3
165,275-28-0149,A,Yangon,Normal,Male,Sports and travel,63.69,1,63.69,3.1845,596.82,2/25/2019,16:21,Cash,63.69,4.761904762,3.1845,6
166,101-17-6199,A,Yangon,Normal,Male,Food and beverages,45.79,7,320.53,16.0265,590.436,3/13/2019,19:44,Credit card,320.53,4.761904762,16.0265,7
167,423-80-0988,C,NAYPYITAW,Normal,Male,Sports and travel,76.4,2,152.8,7.64,588.42,1/30/2019,19:42,Ewallet,152.8,4.761904762,7.64,6.5
